( train_assamesemale_00001 " about the proceed towards the door. " )
( train_assamesemale_00002 " when the candle went out who is it. " )
( train_assamesemale_00003 " Bhabaprasad here sir Why have you come now. " )
( train_assamesemale_00004 " I have come to clear away the dishes. " )
( train_assamesemale_00005 " Yes Bhaba was right. " )
( train_assamesemale_00006 " after my dinner he had not taken. " )
( train_assamesemale_00007 " away the dishes but danger couldnt be ruled out. " )
( train_assamesemale_00008 " besides it was not that important for. " )
( train_assamesemale_00009 " him to remove the dishes now. " )
( train_assamesemale_00010 " he could do so after the storm. " )
( train_assamesemale_00011 " so I said come later after the. " )
( train_assamesemale_00012 " thunderstorm abates. " )
( train_assamesemale_00013 " I have something to tell you sir. " )
( train_assamesemale_00014 " what could he have to say in this. " )
( train_assamesemale_00015 " situation what if it was actually the ghost in. " )
( train_assamesemale_00016 " the guise of bhabaprasad come to coax and trap. " )
( train_assamesemale_00017 " me in his eager claws as I opened the. " )
( train_assamesemale_00018 " door it looked like the watchman called bhabaprasad had. " )
( train_assamesemale_00019 " entered the room completely drenched in the rain. " )
( train_assamesemale_00020 " well actually in the pitch dark of the. " )
( train_assamesemale_00021 " room I only tried to feel his presence and. " )
( train_assamesemale_00022 " consoled myself that he was indeed bhabaprasad. " )
( train_assamesemale_00023 " he could be someone else a thief. " )
( train_assamesemale_00024 " a robber or ningni the ghost. " )
( train_assamesemale_00025 " sir the thing is. " )
( train_assamesemale_00026 " bhabaprasad began as he lit the candle. " )
( train_assamesemale_00027 " which palliated the scary situation inside the. " )
( train_assamesemale_00028 " room to a great extent. " )
( train_assamesemale_00029 " put away that firearm. " )
( train_assamesemale_00030 " you wont need it because ningni will. " )
( train_assamesemale_00031 " not kill you like he killed Gogoi and Niranjan. " )
( train_assamesemale_00032 " i felt a bit uneasy because I had. " )
( train_assamesemale_00033 " not wanted my weaknesses to be detected by Bhabaprasad. " )
( train_assamesemale_00034 " in such an embarrassing manner. " )
( train_assamesemale_00035 " do you know how many boys gogoi cheated. " )
( train_assamesemale_00036 " with false promises of jobs many fathers had sold. " )
( train_assamesemale_00037 " off their lands and given him money. " )
( train_assamesemale_00038 " but he failed to provide a single job to anyone. " )
( train_assamesemale_00039 " bhabaprasads sudden change of attitude towards gogoi. " )
( train_assamesemale_00040 " caught me unawares. " )
( train_assamesemale_00041 " he even took away my only daughter. " )
( train_assamesemale_00042 " to town promising her a job and then allegedly. " )
( train_assamesemale_00043 " sold her off to a contractor. " )
( train_assamesemale_00044 " his heart broke in agony as he said it. " )
( train_assamesemale_00045 " which contractor i asked trying to add salt. " )
( train_assamesemale_00046 " to his wounds niranjan. " )
( train_assamesemale_00047 " the one whom ningni had strangled and. " )
( train_assamesemale_00048 " whose blood was then drunk up by the ghost. " )
( train_assamesemale_00049 " bhaba said self contentedly. " )
( train_assamesemale_00050 " in the meantime he had finished clearing. " )
( train_assamesemale_00051 " away the dishes and cleaning the table. " )
( train_assamesemale_00052 " I know that you have come here. " )
( train_assamesemale_00053 " to probe the two murder cases. " )
( train_assamesemale_00054 " with one stroke bhabaprasad seemed to have razed. " )
( train_assamesemale_00055 " to the ground the so called success of my fifteen year. " )
( train_assamesemale_00056 " career in the police force. " )
( train_assamesemale_00057 " because I had been puffed up on. " )
( train_assamesemale_00058 " the belief that no one was aware of the. " )
( train_assamesemale_00059 " official reason for my visit here. " )
( train_assamesemale_00060 " i think I have not committed any seen. " )
( train_assamesemale_00061 " by strangling gogoi and niranjan and then putting the. " )
( train_assamesemale_00062 " blame on Ningni the Ghost. " )
( train_assamesemale_00063 " the statement flowed out of bhabaprasads throat. " )
( train_assamesemale_00064 " like a very confident declaration. " )
( train_assamesemale_00065 " you are not believing me because being. " )
( train_assamesemale_00066 " a policeman you need proof. " )
( train_assamesemale_00067 " he said mocking at me severely. " )
( train_assamesemale_00068 " where is your daughter now. " )
( train_assamesemale_00069 " two days after being sold off she hanged. " )
( train_assamesemale_00070 " herself from the ceiling fan. " )
( train_assamesemale_00071 " i did not notice any change of expression. " )
( train_assamesemale_00072 " on bhabas face. " )
( train_assamesemale_00073 " before dying she had reportedly spat out. " )
( train_assamesemale_00074 " curses at her father. " )
( train_assamesemale_00075 " he said and left the room wet. " )
( train_assamesemale_00076 " the dishes in his hands. " )
